code_rls,territoire,domicile,visiteurs,travail,ecole,autre
0611,RLS de Pierrefonds - Lac Saint-Louis,1.2,1.1,2.7,1.6,1.3
0612,RLS de Dorval - Lachine - Lasalle,1.2,1.1,2.7,1.6,1.3
0621,RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,1.2,1.1,2.7,1.6,1.3
0622,RLS de Côte-des-Neiges - Métro - Parc-Extension,1.2,1.1,2.7,1.6,1.3
0631,RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,1.2,1.1,2.7,1.6,1.3
0632,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,1.2,1.1,2.7,1.6,1.3
0641,RLS du Nord de l'Île - Saint-Laurent,1.2,1.1,2.7,1.6,1.3
0642,RLS d'Ahuntsic - Montréal-Nord,1.2,1.1,2.7,1.6,1.3
0643,RLS de la Petite Patrie - Villeray,1.2,1.1,2.7,1.6,1.3
0651,RLS de Saint-Léonard - Saint-Michel,1.2,1.1,2.7,1.6,1.3
0652,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,1.2,1.1,2.7,1.6,1.3
0653,RLS de Hochelaga - Mercier-Ouest - Rosemont,1.2,1.1,2.7,1.6,1.3
