date,region,deces_cumulatif
2020-01-23,06 - Montréal,0
2020-01-24,06 - Montréal,0
2020-01-25,06 - Montréal,0
2020-01-26,06 - Montréal,0
2020-01-27,06 - Montréal,0
2020-01-28,06 - Montréal,0
2020-01-29,06 - Montréal,0
2020-01-30,06 - Montréal,0
2020-01-31,06 - Montréal,0
2020-02-01,06 - Montréal,0
2020-02-02,06 - Montréal,0
2020-02-03,06 - Montréal,0
2020-02-04,06 - Montréal,0
2020-02-05,06 - Montréal,0
2020-02-06,06 - Montréal,0
2020-02-07,06 - Montréal,0
2020-02-08,06 - Montréal,0
2020-02-09,06 - Montréal,0
2020-02-10,06 - Montréal,0
2020-02-11,06 - Montréal,0
2020-02-12,06 - Montréal,0
2020-02-13,06 - Montréal,0
2020-02-14,06 - Montréal,0
2020-02-15,06 - Montréal,0
2020-02-16,06 - Montréal,0
2020-02-17,06 - Montréal,0
2020-02-18,06 - Montréal,0
2020-02-19,06 - Montréal,0
2020-02-20,06 - Montréal,0
2020-02-21,06 - Montréal,0
2020-02-22,06 - Montréal,0
2020-02-23,06 - Montréal,0
2020-02-24,06 - Montréal,0
2020-02-25,06 - Montréal,0
2020-02-26,06 - Montréal,0
2020-02-27,06 - Montréal,0
2020-02-28,06 - Montréal,0
2020-02-29,06 - Montréal,0
2020-03-01,06 - Montréal,0
2020-03-02,06 - Montréal,0
2020-03-03,06 - Montréal,0
2020-03-04,06 - Montréal,0
2020-03-05,06 - Montréal,0
2020-03-06,06 - Montréal,0
2020-03-07,06 - Montréal,0
2020-03-08,06 - Montréal,0
2020-03-09,06 - Montréal,0
2020-03-10,06 - Montréal,0
2020-03-11,06 - Montréal,0
2020-03-12,06 - Montréal,0
2020-03-13,06 - Montréal,0
2020-03-14,06 - Montréal,0
2020-03-15,06 - Montréal,0
2020-03-16,06 - Montréal,0
2020-03-17,06 - Montréal,0
2020-03-18,06 - Montréal,0
2020-03-19,06 - Montréal,0
2020-03-20,06 - Montréal,0
2020-03-21,06 - Montréal,0
2020-03-22,06 - Montréal,1
2020-03-23,06 - Montréal,1
2020-03-24,06 - Montréal,3
2020-03-25,06 - Montréal,5
2020-03-26,06 - Montréal,8
2020-03-27,06 - Montréal,9
2020-03-28,06 - Montréal,16
2020-03-29,06 - Montréal,23
2020-03-30,06 - Montréal,33
2020-03-31,06 - Montréal,43
2020-04-01,06 - Montréal,53
2020-04-02,06 - Montréal,66
2020-04-03,06 - Montréal,83
2020-04-04,06 - Montréal,111
2020-04-05,06 - Montréal,135
2020-04-06,06 - Montréal,169
2020-04-07,06 - Montréal,205
2020-04-08,06 - Montréal,242
2020-04-09,06 - Montréal,281
2020-04-10,06 - Montréal,325
2020-04-11,06 - Montréal,367
2020-04-12,06 - Montréal,413
2020-04-13,06 - Montréal,465
2020-04-14,06 - Montréal,520
2020-04-15,06 - Montréal,572
2020-04-16,06 - Montréal,625
2020-04-17,06 - Montréal,685
2020-04-18,06 - Montréal,736
2020-04-19,06 - Montréal,816
2020-04-20,06 - Montréal,888
2020-04-21,06 - Montréal,960
2020-04-22,06 - Montréal,1024
2020-04-23,06 - Montréal,1101
2020-04-24,06 - Montréal,1168
2020-04-25,06 - Montréal,1246
2020-04-26,06 - Montréal,1320
2020-04-27,06 - Montréal,1390
2020-04-28,06 - Montréal,1474
2020-04-29,06 - Montréal,1559
2020-04-30,06 - Montréal,1637
2020-05-01,06 - Montréal,1711
2020-05-02,06 - Montréal,1785
2020-05-03,06 - Montréal,1846
2020-05-04,06 - Montréal,1914
2020-05-05,06 - Montréal,1977
2020-05-06,06 - Montréal,2036
2020-05-07,06 - Montréal,2094
2020-05-08,06 - Montréal,2149
2020-05-09,06 - Montréal,2211
2020-05-10,06 - Montréal,2267
2020-05-11,06 - Montréal,2328
2020-05-12,06 - Montréal,2378
2020-05-13,06 - Montréal,2412
2020-05-14,06 - Montréal,2469
2020-05-15,06 - Montréal,2518
2020-05-16,06 - Montréal,2558
2020-05-17,06 - Montréal,2593
2020-05-18,06 - Montréal,2624
2020-05-19,06 - Montréal,2654
2020-05-20,06 - Montréal,2700
2020-05-21,06 - Montréal,2736
2020-05-22,06 - Montréal,2780
2020-05-23,06 - Montréal,2807
2020-05-24,06 - Montréal,2840
2020-05-25,06 - Montréal,2868
2020-05-26,06 - Montréal,2898
2020-05-27,06 - Montréal,2924
2020-05-28,06 - Montréal,2966
2020-05-29,06 - Montréal,2994
2020-05-30,06 - Montréal,3012
2020-05-31,06 - Montréal,3026
2020-06-01,06 - Montréal,3047
2020-06-02,06 - Montréal,3066
2020-06-03,06 - Montréal,3081
2020-06-04,06 - Montréal,3087
2020-06-05,06 - Montréal,3104
2020-06-06,06 - Montréal,3114
2020-06-07,06 - Montréal,3122
2020-06-08,06 - Montréal,3126
2020-06-09,06 - Montréal,3133
2020-06-10,06 - Montréal,3138
2020-06-11,06 - Montréal,3149
2020-06-12,06 - Montréal,3155
2020-06-13,06 - Montréal,3163
2020-06-14,06 - Montréal,3166
2020-06-15,06 - Montréal,3171
2020-06-16,06 - Montréal,3174
2020-06-17,06 - Montréal,3176
2020-06-18,06 - Montréal,3179
2020-06-19,06 - Montréal,3181
2020-06-20,06 - Montréal,3183
2020-06-21,06 - Montréal,3187
2020-06-22,06 - Montréal,3191
2020-06-23,06 - Montréal,3191
2020-06-24,06 - Montréal,3195
2020-06-25,06 - Montréal,3196
2020-06-26,06 - Montréal,3197
