date,semaine_cdc,travail,ecole_primaire,ecole_secondaire,cegep,universite,garderie,milieu_de_soins,autre,total
2020-08-23,2020-35,32,0,1,0,0,0,14,5,54
2020-08-24,2020-35,33,0,1,0,0,0,15,5,56
2020-08-25,2020-35,39,0,1,0,0,1,15,5,63
2020-08-26,2020-35,36,0,1,0,0,1,16,5,61
2020-08-27,2020-35,36,0,1,0,0,1,17,4,62
2020-08-28,2020-35,38,0,2,0,0,1,16,3,63
2020-08-29,2020-35,41,0,4,0,0,1,16,4,70
2020-08-30,2020-36,43,2,5,0,0,2,16,6,78
2020-08-31,2020-36,48,4,6,0,0,2,19,6,89
2020-09-01,2020-36,52,6,9,0,0,3,19,8,101
2020-09-02,2020-36,57,6,9,0,0,4,21,8,109
2020-09-03,2020-36,65,7,9,0,0,6,21,8,120
2020-09-04,2020-36,69,7,11,0,0,6,22,9,128
2020-09-05,2020-36,74,7,13,0,0,6,24,11,139
2020-09-06,2020-37,79,10,14,0,0,7,24,14,153
2020-09-07,2020-37,86,11,15,0,0,7,27,17,168
2020-09-08,2020-37,92,13,19,0,0,9,29,19,186
2020-09-09,2020-37,102,15,23,2,0,10,32,20,209
2020-09-10,2020-37,111,16,23,4,0,10,35,23,227
2020-09-11,2020-37,119,19,24,5,0,13,38,23,246
2020-09-12,2020-37,128,20,24,5,0,13,41,24,260
2020-09-13,2020-38,135,24,29,5,0,13,43,25,279
2020-09-14,2020-38,146,28,34,6,0,14,51,26,310
2020-09-15,2020-38,159,32,38,6,0,14,53,26,333
2020-09-16,2020-38,170,35,39,6,0,15,58,27,355
2020-09-17,2020-38,177,38,41,8,0,15,59,29,372
2020-09-18,2020-38,195,40,45,10,0,17,65,31,408
2020-09-19,2020-38,217,46,48,11,0,17,70,32,446
2020-09-20,2020-39,224,50,53,11,0,18,75,33,469
2020-09-21,2020-39,242,53,57,12,1,19,81,36,507
2020-09-22,2020-39,260,55,62,13,1,25,81,37,540
2020-09-23,2020-39,277,57,68,13,2,28,90,41,582
2020-09-24,2020-39,291,63,70,13,2,28,106,41,620
2020-09-25,2020-39,323,66,75,15,2,29,112,43,671
2020-09-26,2020-39,335,69,78,16,2,33,120,45,704
2020-09-27,2020-40,350,74,83,17,2,34,125,49,740
2020-09-28,2020-40,377,77,90,18,2,35,132,52,789
2020-09-29,2020-40,408,80,95,19,3,39,139,55,846
2020-09-30,2020-40,441,81,99,19,3,43,143,57,894
