date,region,admissions_hopital,admissions_soins_intensifs
2021-12-01,06 - Montréal,19,2
2021-12-02,06 - Montréal,7,2
2021-12-03,06 - Montréal,14,1
2021-12-04,06 - Montréal,13,1
2021-12-05,06 - Montréal,12,2
2021-12-06,06 - Montréal,10,2
2021-12-07,06 - Montréal,13,0
2021-12-08,06 - Montréal,17,5
2021-12-09,06 - Montréal,18,2
2021-12-10,06 - Montréal,17,3
2021-12-11,06 - Montréal,9,5
2021-12-12,06 - Montréal,15,2
2021-12-13,06 - Montréal,25,2
2021-12-14,06 - Montréal,20,4
2021-12-15,06 - Montréal,27,2
2021-12-16,06 - Montréal,31,8
2021-12-17,06 - Montréal,31,2
2021-12-18,06 - Montréal,22,5
2021-12-19,06 - Montréal,22,4
2021-12-20,06 - Montréal,33,3
2021-12-21,06 - Montréal,34,6
2021-12-22,06 - Montréal,34,4
2021-12-23,06 - Montréal,40,2
2021-12-24,06 - Montréal,26,2
2021-12-25,06 - Montréal,32,4
2021-12-26,06 - Montréal,36,5
2021-12-27,06 - Montréal,54,6
2021-12-28,06 - Montréal,42,4
2021-12-29,06 - Montréal,63,8
2021-12-30,06 - Montréal,74,8
2021-12-31,06 - Montréal,52,9
2022-01-01,06 - Montréal,47,9
2022-01-02,06 - Montréal,65,7
2022-01-03,06 - Montréal,50,9
2022-01-04,06 - Montréal,66,12
2022-01-05,06 - Montréal,78,8
2022-01-06,06 - Montréal,93,17
2022-01-07,06 - Montréal,73,8
2022-01-08,06 - Montréal,73,10
2022-01-09,06 - Montréal,74,5
2022-01-10,06 - Montréal,80,10
2022-01-11,06 - Montréal,89,15
2022-01-12,06 - Montréal,73,16
2022-01-13,06 - Montréal,72,12
2022-01-14,06 - Montréal,92,10
2022-01-15,06 - Montréal,76,6
2022-01-16,06 - Montréal,51,7
2022-01-17,06 - Montréal,62,10
2022-01-18,06 - Montréal,61,11
2022-01-19,06 - Montréal,69,8
2022-01-20,06 - Montréal,76,5
2022-01-21,06 - Montréal,72,10
2022-01-22,06 - Montréal,54,8
2022-01-23,06 - Montréal,41,5
2022-01-24,06 - Montréal,54,7
2022-01-25,06 - Montréal,39,5
2022-01-26,06 - Montréal,66,7
2022-01-27,06 - Montréal,46,10
2022-01-28,06 - Montréal,42,2
2022-01-29,06 - Montréal,32,5
2022-01-30,06 - Montréal,31,3
2022-01-31,06 - Montréal,33,4
2022-02-01,06 - Montréal,36,5
2022-02-02,06 - Montréal,43,3
2022-02-03,06 - Montréal,30,4
2022-02-04,06 - Montréal,47,4
2022-02-05,06 - Montréal,25,2
2022-02-06,06 - Montréal,32,3
2022-02-07,06 - Montréal,32,4
2022-02-08,06 - Montréal,25,7
2022-02-09,06 - Montréal,24,2
2022-02-10,06 - Montréal,22,4
2022-02-11,06 - Montréal,23,3
2022-02-12,06 - Montréal,21,4
2022-02-13,06 - Montréal,18,4
2022-02-14,06 - Montréal,21,3
2022-02-15,06 - Montréal,11,4
2022-02-16,06 - Montréal,17,3
2022-02-17,06 - Montréal,15,2
2022-02-18,06 - Montréal,18,5
2022-02-19,06 - Montréal,18,2
2022-02-20,06 - Montréal,16,0
2022-02-21,06 - Montréal,15,1
2022-02-22,06 - Montréal,18,2
2022-02-23,06 - Montréal,20,1
2022-02-24,06 - Montréal,16,1
2022-02-25,06 - Montréal,12,1
2022-02-26,06 - Montréal,8,2
2022-02-27,06 - Montréal,7,0
2022-02-28,06 - Montréal,14,0
