date,region,taux_positivite
2020-01-23,06 - Montréal,0
2020-01-24,06 - Montréal,.
2020-01-25,06 - Montréal,.
2020-01-26,06 - Montréal,.
2020-01-27,06 - Montréal,.
2020-01-28,06 - Montréal,.
2020-01-29,06 - Montréal,.
2020-01-30,06 - Montréal,0
2020-01-31,06 - Montréal,.
2020-02-01,06 - Montréal,.
2020-02-02,06 - Montréal,.
2020-02-03,06 - Montréal,0
2020-02-04,06 - Montréal,.
2020-02-05,06 - Montréal,.
2020-02-06,06 - Montréal,.
2020-02-07,06 - Montréal,0
2020-02-08,06 - Montréal,.
2020-02-09,06 - Montréal,.
2020-02-10,06 - Montréal,0
2020-02-11,06 - Montréal,0
2020-02-12,06 - Montréal,0
2020-02-13,06 - Montréal,0
2020-02-14,06 - Montréal,0
2020-02-15,06 - Montréal,.
2020-02-16,06 - Montréal,.
2020-02-17,06 - Montréal,0
2020-02-18,06 - Montréal,.
2020-02-19,06 - Montréal,0
2020-02-20,06 - Montréal,0
2020-02-21,06 - Montréal,0
2020-02-22,06 - Montréal,.
2020-02-23,06 - Montréal,.
2020-02-24,06 - Montréal,0
2020-02-25,06 - Montréal,0
2020-02-26,06 - Montréal,0
2020-02-27,06 - Montréal,0
2020-02-28,06 - Montréal,0
2020-02-29,06 - Montréal,0
2020-03-01,06 - Montréal,0
2020-03-02,06 - Montréal,0
2020-03-03,06 - Montréal,0
2020-03-04,06 - Montréal,0
2020-03-05,06 - Montréal,0
2020-03-06,06 - Montréal,4.76
2020-03-07,06 - Montréal,0
2020-03-08,06 - Montréal,0
2020-03-09,06 - Montréal,0
2020-03-10,06 - Montréal,0
2020-03-11,06 - Montréal,2.22
2020-03-12,06 - Montréal,1
2020-03-13,06 - Montréal,1.54
2020-03-14,06 - Montréal,0.61
2020-03-15,06 - Montréal,1.3
2020-03-16,06 - Montréal,2.39
2020-03-17,06 - Montréal,1.28
2020-03-18,06 - Montréal,1.72
2020-03-19,06 - Montréal,4.24
2020-03-20,06 - Montréal,3.92
2020-03-21,06 - Montréal,7.32
2020-03-22,06 - Montréal,9.62
2020-03-23,06 - Montréal,12.06
2020-03-24,06 - Montréal,7.58
2020-03-25,06 - Montréal,6.25
2020-03-26,06 - Montréal,7.94
2020-03-27,06 - Montréal,12.44
2020-03-28,06 - Montréal,9.39
2020-03-29,06 - Montréal,9.47
2020-03-30,06 - Montréal,9.8
2020-03-31,06 - Montréal,13.36
2020-04-01,06 - Montréal,17.02
2020-04-02,06 - Montréal,16.75
2020-04-03,06 - Montréal,14.89
2020-04-04,06 - Montréal,20.08
2020-04-05,06 - Montréal,18.43
2020-04-06,06 - Montréal,21.86
2020-04-07,06 - Montréal,20.97
2020-04-08,06 - Montréal,19.98
2020-04-09,06 - Montréal,23.08
2020-04-10,06 - Montréal,20.36
2020-04-11,06 - Montréal,18.59
2020-04-12,06 - Montréal,20.15
2020-04-13,06 - Montréal,16.24
2020-04-14,06 - Montréal,21.95
2020-04-15,06 - Montréal,22.43
2020-04-16,06 - Montréal,24.16
2020-04-17,06 - Montréal,22.89
2020-04-18,06 - Montréal,21.48
2020-04-19,06 - Montréal,22.15
2020-04-20,06 - Montréal,22.54
2020-04-21,06 - Montréal,20.55
2020-04-22,06 - Montréal,19.57
2020-04-23,06 - Montréal,18.46
2020-04-24,06 - Montréal,20.08
2020-04-25,06 - Montréal,16.21
2020-04-26,06 - Montréal,16.68
2020-04-27,06 - Montréal,19.33
2020-04-28,06 - Montréal,20.24
2020-04-29,06 - Montréal,18.91
2020-04-30,06 - Montréal,18.36
2020-05-01,06 - Montréal,17.61
2020-05-02,06 - Montréal,18.9
2020-05-03,06 - Montréal,19.05
2020-05-04,06 - Montréal,16.03
2020-05-05,06 - Montréal,18.03
2020-05-06,06 - Montréal,15.87
2020-05-07,06 - Montréal,15.35
2020-05-08,06 - Montréal,12.81
2020-05-09,06 - Montréal,12.21
2020-05-10,06 - Montréal,11.69
2020-05-11,06 - Montréal,13.12
2020-05-12,06 - Montréal,10.99
2020-05-13,06 - Montréal,9.98
2020-05-14,06 - Montréal,9.21
2020-05-15,06 - Montréal,8.19
2020-05-16,06 - Montréal,8.36
2020-05-17,06 - Montréal,9.05
2020-05-18,06 - Montréal,10.1
2020-05-19,06 - Montréal,9.25
2020-05-20,06 - Montréal,8.09
2020-05-21,06 - Montréal,7.63
2020-05-22,06 - Montréal,6.14
2020-05-23,06 - Montréal,6.71
2020-05-24,06 - Montréal,5.55
2020-05-25,06 - Montréal,5.44
2020-05-26,06 - Montréal,5.67
2020-05-27,06 - Montréal,5.07
2020-05-28,06 - Montréal,4.84
2020-05-29,06 - Montréal,4.67
2020-05-30,06 - Montréal,4.71
2020-05-31,06 - Montréal,4.16
2020-06-01,06 - Montréal,4.3
2020-06-02,06 - Montréal,3.53
2020-06-03,06 - Montréal,2.81
2020-06-04,06 - Montréal,3.4
2020-06-05,06 - Montréal,2.95
2020-06-06,06 - Montréal,3.18
2020-06-07,06 - Montréal,2.96
2020-06-08,06 - Montréal,2.04
2020-06-09,06 - Montréal,2.09
2020-06-10,06 - Montréal,2.36
2020-06-11,06 - Montréal,2.47
2020-06-12,06 - Montréal,1.88
2020-06-13,06 - Montréal,1.89
2020-06-14,06 - Montréal,1.87
2020-06-15,06 - Montréal,2.39
2020-06-16,06 - Montréal,1.81
2020-06-17,06 - Montréal,1.57
2020-06-18,06 - Montréal,1.56
2020-06-19,06 - Montréal,1.23
2020-06-20,06 - Montréal,1.43
2020-06-21,06 - Montréal,1.74
2020-06-22,06 - Montréal,1.93
2020-06-23,06 - Montréal,1.51
2020-06-24,06 - Montréal,1.43
2020-06-25,06 - Montréal,1.57
2020-06-26,06 - Montréal,1.09
2020-06-27,06 - Montréal,1.36
2020-06-28,06 - Montréal,1.02
2020-06-29,06 - Montréal,0.39
2020-06-30,06 - Montréal,1.38
2020-07-01,06 - Montréal,0.87
2020-07-02,06 - Montréal,0.86
2020-07-03,06 - Montréal,0.89
2020-07-04,06 - Montréal,0.7
2020-07-05,06 - Montréal,0.68
2020-07-06,06 - Montréal,0.74
2020-07-07,06 - Montréal,1.11
2020-07-08,06 - Montréal,1.42
2020-07-09,06 - Montréal,1.24
2020-07-10,06 - Montréal,1.31
2020-07-11,06 - Montréal,0.83
2020-07-12,06 - Montréal,1.01
2020-07-13,06 - Montréal,2.64
2020-07-14,06 - Montréal,1.42
2020-07-15,06 - Montréal,1.9
2020-07-16,06 - Montréal,1.47
2020-07-17,06 - Montréal,1.34
2020-07-18,06 - Montréal,2
2020-07-19,06 - Montréal,1.1
2020-07-20,06 - Montréal,1.54
2020-07-21,06 - Montréal,1.06
2020-07-22,06 - Montréal,1.65
2020-07-23,06 - Montréal,1.42
2020-07-24,06 - Montréal,0.99
2020-07-25,06 - Montréal,1.1
2020-07-26,06 - Montréal,0.86
2020-07-27,06 - Montréal,0.98
2020-07-28,06 - Montréal,0.93
2020-07-29,06 - Montréal,1.36
2020-07-30,06 - Montréal,1.15
2020-07-31,06 - Montréal,0.83
2020-08-01,06 - Montréal,1.05
2020-08-02,06 - Montréal,1.18
2020-08-03,06 - Montréal,1.34
2020-08-04,06 - Montréal,1.06
2020-08-05,06 - Montréal,0.93
2020-08-06,06 - Montréal,0.71
2020-08-07,06 - Montréal,0.91
2020-08-08,06 - Montréal,1.22
2020-08-09,06 - Montréal,1.16
2020-08-10,06 - Montréal,0.93
2020-08-11,06 - Montréal,0.97
2020-08-12,06 - Montréal,0.73
2020-08-13,06 - Montréal,0.72
2020-08-14,06 - Montréal,0.64
2020-08-15,06 - Montréal,0.59
2020-08-16,06 - Montréal,0.29
2020-08-17,06 - Montréal,0.7
2020-08-18,06 - Montréal,0.64
2020-08-19,06 - Montréal,0.58
2020-08-20,06 - Montréal,0.83
2020-08-21,06 - Montréal,0.74
2020-08-22,06 - Montréal,0.5
2020-08-23,06 - Montréal,0.63
2020-08-24,06 - Montréal,0.62
2020-08-25,06 - Montréal,1.1
2020-08-26,06 - Montréal,1.23
2020-08-27,06 - Montréal,0.7
2020-08-28,06 - Montréal,1.05
2020-08-29,06 - Montréal,1.01
2020-08-30,06 - Montréal,0.94
2020-08-31,06 - Montréal,0.85
2020-09-01,06 - Montréal,1.13
2020-09-02,06 - Montréal,1.32
2020-09-03,06 - Montréal,0.98
2020-09-04,06 - Montréal,0.92
