date,rt,rt_borne_basse,rt_borne_haute
2020-07-01,1.398250998,1.117943498,1.709442888
2020-07-02,1.314896074,1.052736871,1.605763791
2020-07-03,1.254244342,1.006854118,1.528401829
2020-07-04,1.191393834,0.957640836,1.450289523
2020-07-05,1.144987849,0.921512898,1.392359932
2020-07-06,1.101637998,0.886623928,1.339644442
2020-07-07,1.070422697,0.861501126,1.301685145
2020-07-08,1.047903964,0.843377526,1.274301289
2020-07-09,1.009510201,0.810391937,1.23017277
2020-07-10,0.977303497,0.782452275,1.193492473
2020-07-11,0.961295996,0.768584903,1.175240071
2020-07-12,0.950666781,0.759029164,1.163550335
2020-07-13,0.946022744,0.754251065,1.159188978
2020-07-14,0.957166395,0.763135746,1.172843615
2020-07-15,0.981893248,0.783960927,1.201769368
2020-07-16,1.018631002,0.815540052,1.243962021
2020-07-17,1.041810219,0.835218574,1.270888836
2020-07-18,1.071940283,0.861624224,1.304878132
2020-07-19,1.106487527,0.892741189,1.342829546
2020-07-20,1.133458233,0.917775015,1.371562784
2020-07-21,1.142209757,0.926978508,1.379573223
2020-07-22,1.133165934,0.920665988,1.367400538
2020-07-23,1.118751159,0.90995373,1.34879167
2020-07-24,1.091068776,0.887437832,1.315417165
2020-07-25,1.033653999,0.837927476,1.249616279
2020-07-26,0.98231084,0.79351251,1.190955084
2020-07-27,0.938106371,0.755009864,1.14078217
2020-07-28,0.892689424,0.714708249,1.09016095
2020-07-29,0.846695587,0.673092895,1.03991491
2020-07-30,0.797857097,0.628295602,0.987367632
2020-07-31,0.764800137,0.596971702,0.953102252
2020-08-01,0.736257341,0.569054165,0.924668642
2020-08-02,0.711913998,0.544160395,0.901861962
2020-08-03,0.702710703,0.531794102,0.897078531
2020-08-04,0.708596168,0.531848633,0.910310892
2020-08-05,0.73035172,0.544949788,0.94248168
2020-08-06,0.769023383,0.572034436,0.994709993
2020-08-07,0.808636937,0.59958679,1.048469398
2020-08-08,0.862469198,0.639502247,1.118267692
2020-08-09,0.91083161,0.675361929,1.180973842
2020-08-10,0.969749503,0.721343619,1.254343551
2020-08-11,1.019697134,0.760844018,1.315867193
2020-08-12,1.059518567,0.792929467,1.364147045
2020-08-13,1.088349351,0.816878697,1.39816769
2020-08-14,1.126541102,0.850266598,1.441085323
2020-08-15,1.155570054,0.876779591,1.472257171
2020-08-16,1.157880728,0.880754605,1.472333087
2020-08-17,1.173472742,0.896958611,1.486570615
2020-08-18,1.201205929,0.924448865,1.513649416
2020-08-19,1.223883476,0.947895471,1.534597777
2020-08-20,1.224995774,0.952546549,1.531191907
2020-08-21,1.238415988,0.968438989,1.541083377
2020-08-22,1.24434274,0.978237824,1.541976451
2020-08-23,1.229235213,0.969601742,1.519203202
2020-08-24,1.212660148,0.95960717,1.494878722
2020-08-25,1.195408773,0.94888275,1.469973502
2020-08-26,1.193638642,0.951671851,1.462599886
2020-08-27,1.180271306,0.943662214,1.44295008
2020-08-28,1.196742405,0.96194001,1.456800364
2020-08-29,1.225744513,0.991338428,1.484653347
2020-08-30,1.264638357,1.029726787,1.523324832
2020-08-31,1.321789712,1.085006845,1.581594128
2020-09-01,1.378626258,1.140827849,1.638601059
2020-09-02,1.452211096,1.213046248,1.712575749
2020-09-03,1.502762194,1.265516235,1.760088915
2020-09-04,1.548819967,1.315088034,1.801387925
2020-09-05,1.56802499,1.340970858,1.812576074
2020-09-06,1.572548503,1.353924121,1.807295718
2020-09-07,1.558540267,1.349858534,1.782001343
2020-09-08,1.5255024,1.327810021,1.7367134
2020-09-09,1.500511906,1.312720286,1.700674711
2020-09-10,1.472536072,1.294148648,1.662273637
2020-09-11,1.46161147,1.290818022,1.642862382
2020-09-12,1.470057766,1.305076812,1.64471595
2020-09-13,1.492977779,1.332563368,1.662377253
2020-09-14,1.533509704,1.376536814,1.698835825
2020-09-15,1.566725405,1.413667995,1.727536608
2020-09-16,1.59200117,1.443488115,1.747681548
2020-09-17,1.595235238,1.452569982,1.74448749
2020-09-18,1.57595839,1.440258254,1.717680261
2020-09-19,1.534913755,1.406965923,1.668350082
2020-09-20,1.47577896,1.355927217,1.600633865
2020-09-21,1.410208435,1.298109933,1.526883059
2020-09-22,1.342342771,1.237385077,1.451512072
2020-09-23,1.274786396,1.176224123,1.377257677
2020-09-24,1.208284346,1.115378182,1.304854082
2020-09-25,1.14760702,1.059504498,1.239178033
2020-09-26,1.094156398,1.010025644,1.181604684
2020-09-27,1.048892857,0.967924268,1.133067392
2020-09-28,1.010628077,0.93211509,1.09227045
2020-09-29,0.982637968,0.905805569,1.062553398
2020-09-30,0.964607071,0.888752423,1.043523679
2020-10-01,0.954819303,0.879361795,1.033338485
2020-10-02,0.951617605,0.876099417,1.030213245
2020-10-03,0.954871187,0.878904023,1.033942223
2020-10-04,0.962974052,0.886297785,1.042785909
2020-10-05,0.971323008,0.893916777,1.051897461
2020-10-06,0.98051545,0.90237666,1.061852446
2020-10-07,0.989756551,0.910947743,1.071788158
2020-10-08,0.997034993,0.917713381,1.079597532
2020-10-09,1.000710333,0.921096321,1.08357722
2020-10-10,1.002677556,0.922907037,1.085707345
2020-10-11,1.003267753,0.923450279,1.086346415
2020-10-12,1.003058557,0.923257726,1.086119895
2020-10-13,1.002616528,0.922850863,1.085641262
2020-10-14,1.002243369,0.922507392,1.085237203
2020-10-15,1.003729463,0.923942273,1.086773753
2020-10-16,1.008763441,0.928777134,1.092006446
2020-10-17,1.015535003,0.935279251,1.099047115
2020-10-18,1.020304537,0.939871652,1.103992546
2020-10-19,1.027622863,0.946945116,1.111551704
2020-10-20,1.035232222,0.954353079,1.119354041
2020-10-21,1.041383827,0.960416636,1.125580917
2020-10-22,1.047857504,0.966840623,1.132087536
2020-10-23,1.056225874,0.975138741,1.140505312
2020-10-24,1.068090742,0.986851391,1.152497613
2020-10-25,1.078376274,0.997099559,1.162792039
2020-10-26,1.086788455,1.005608272,1.171074897
2020-10-27,1.094360138,1.013389388,1.178398614
2020-10-28,1.09443071,1.014036081,1.177848526
2020-10-29,1.092375269,1.012699485,1.175025193
2020-10-30,1.087384379,1.008571166,1.169120335
2020-10-31,1.082057778,1.004117445,1.162869865
2020-11-01,1.077302326,1.000180229,1.157247952
2020-11-02,1.069172069,0.992941935,1.148181354
2020-11-03,1.062223658,0.986793119,1.140392739
2020-11-04,1.05061085,0.976104439,1.127818512
2020-11-05,1.036102953,0.962576398,1.112297077
2020-11-06,1.019139399,0.946622875,1.09429416
2020-11-07,1.003074804,0.931460763,1.077303361
2020-11-08,0.989922408,0.91900751,1.063435414
2020-11-09,0.977366477,0.90701538,1.05030785
2020-11-10,0.970784822,0.900666353,1.04349425
2020-11-11,0.968241842,0.898112842,1.040969659
2020-11-12,0.970496337,0.900106103,1.043498842
2020-11-13,0.976837983,0.905987788,1.050317518
2020-11-14,0.987780178,0.916285719,1.061922145
2020-11-15,1.005248533,0.932890479,1.080270759
2020-11-16,1.025608849,0.952336501,1.101558131
2020-11-17,1.050750494,0.976481169,1.127703217
2020-11-18,1.076636557,1.001476651,1.1544773
2020-11-19,1.102031152,1.026167986,1.180561265
2020-11-20,1.127288562,1.050922337,1.206295155
2020-11-21,1.151705813,1.075069385,1.230943317
2020-11-22,1.170964935,1.094424623,1.250055561
2020-11-23,1.182553568,1.106533885,1.261062929
2020-11-24,1.189452564,1.114252688,1.267073237
2020-11-25,1.18871059,1.114683476,1.265083892
2020-11-26,1.182130327,1.109511194,1.257018819
2020-11-27,1.170399897,1.09934675,1.243646534
2020-11-28,1.157463585,1.087969788,1.229078364
2020-11-29,1.144566657,1.076556006,1.214630952
2020-11-30,1.129494836,1.062936165,1.198046135
2020-12-01,1.115998053,1.050741515,1.183192724
2020-12-02,1.101057724,1.037049423,1.166955689
2020-12-03,1.086829735,1.023956433,1.151549879
2020-12-04,1.073398369,1.011547564,1.137058583
2020-12-05,1.061803906,1.000834636,1.124550388
2020-12-06,1.052972615,0.992719901,1.114975389
2020-12-07,1.045789111,0.986127703,1.10717803
2020-12-08,1.041698965,0.982474115,1.102632649
2020-12-09,1.038364128,0.979504421,1.098916935
2020-12-10,1.036195554,0.977632389,1.096438163
2020-12-11,1.034755308,0.976445383,1.09473236
2020-12-12,1.036375668,0.97821768,1.096189311
2020-12-13,1.03913036,0.981082566,1.098822952
2020-12-14,1.043713959,0.985719773,1.103342444
2020-12-15,1.048864377,0.990913621,1.108438708
2020-12-16,1.056654628,0.998692189,1.116228992
2020-12-17,1.064967415,1.00700737,1.124526314
2020-12-18,1.072699172,1.014791575,1.132190866
2020-12-19,1.080381343,1.022567937,1.139762089
2020-12-20,1.086078013,1.028458128,1.14524623
2020-12-21,1.090597457,1.033246451,1.149475654
2020-12-22,1.090929447,1.033995303,1.149367894
2020-12-23,1.089084286,1.032650315,1.146998466
2020-12-24,1.084765888,1.028910466,1.142076853
2020-12-25,1.077902098,1.02268881,1.134546511
2020-12-26,1.069981701,1.015418899,1.125952286
2020-12-27,1.058633636,1.004778583,1.113874802
2020-12-28,1.044412668,0.991299183,1.098892702
2020-12-29,1.02705032,0.974712634,1.080737429
2020-12-30,1.005677069,0.954163358,1.058526013
2020-12-31,0.983765198,0.933021619,1.035833488
2021-01-01,0.960501968,0.910482322,1.011840309
2021-01-02,0.93914653,0.889705722,0.989905371
2021-01-03,0.919843803,0.87082432,0.970186582
2021-01-04,0.901009185,0.852294976,0.951058112
2021-01-05,0.883542125,0.834998562,0.933437887
2021-01-06,0.866045229,0.817586403,0.91587948
