date,region,doses_1,doses_2,doses_3,doses_4
2020-12-14,06 - Montréal,148,0,0,0
2020-12-15,06 - Montréal,382,0,0,0
2020-12-16,06 - Montréal,319,0,0,0
2020-12-17,06 - Montréal,297,0,0,0
2020-12-18,06 - Montréal,145,0,0,0
2020-12-19,06 - Montréal,83,0,0,0
2020-12-20,06 - Montréal,79,0,0,0
2020-12-21,06 - Montréal,322,0,0,0
2020-12-22,06 - Montréal,584,0,0,0
2020-12-23,06 - Montréal,477,0,0,0
2020-12-24,06 - Montréal,181,0,0,0
2020-12-25,06 - Montréal,0,0,0,0
2020-12-26,06 - Montréal,221,0,0,0
2020-12-27,06 - Montréal,198,0,0,0
2020-12-28,06 - Montréal,591,0,0,0
2020-12-29,06 - Montréal,559,0,0,0
2020-12-30,06 - Montréal,566,0,0,0
2020-12-31,06 - Montréal,34,0,0,0
2021-01-01,06 - Montréal,6,0,0,0
2021-01-02,06 - Montréal,16,0,0,0
2021-01-03,06 - Montréal,13,0,0,0
2021-01-04,06 - Montréal,573,5,0,0
2021-01-05,06 - Montréal,1885,6,0,0
2021-01-06,06 - Montréal,2744,7,0,0
2021-01-07,06 - Montréal,4123,0,0,0
2021-01-08,06 - Montréal,3773,4,0,0
2021-01-09,06 - Montréal,2027,0,0,0
2021-01-10,06 - Montréal,1405,1,0,0
2021-01-11,06 - Montréal,1608,2,0,0
2021-01-12,06 - Montréal,1107,2,0,0
2021-01-13,06 - Montréal,1315,0,0,0
2021-01-14,06 - Montréal,1904,1,0,0
2021-01-15,06 - Montréal,1775,1,0,0
2021-01-16,06 - Montréal,1127,3,0,0
2021-01-17,06 - Montréal,944,1,0,0
2021-01-18,06 - Montréal,1082,7,0,0
2021-01-19,06 - Montréal,1321,1,0,0
2021-01-20,06 - Montréal,1581,1,0,0
2021-01-21,06 - Montréal,1953,5,0,0
2021-01-22,06 - Montréal,2198,4,0,0
2021-01-23,06 - Montréal,1255,4,0,0
2021-01-24,06 - Montréal,393,2,0,0
2021-01-25,06 - Montréal,623,4,0,0
2021-01-26,06 - Montréal,775,27,0,0
2021-01-27,06 - Montréal,703,11,0,0
2021-01-28,06 - Montréal,860,33,0,0
2021-01-29,06 - Montréal,209,19,0,0
2021-01-30,06 - Montréal,31,34,0,0
2021-01-31,06 - Montréal,9,16,0,0
2021-02-01,06 - Montréal,21,28,0,0
2021-02-02,06 - Montréal,75,63,0,0
2021-02-03,06 - Montréal,2222,49,0,0
2021-02-04,06 - Montréal,3410,22,0,0
2021-02-05,06 - Montréal,3469,36,0,0
2021-02-06,06 - Montréal,1491,14,0,0
2021-02-07,06 - Montréal,450,3,0,0
2021-02-08,06 - Montréal,1157,28,0,0
2021-02-09,06 - Montréal,537,19,0,0
2021-02-10,06 - Montréal,1159,27,0,0
2021-02-11,06 - Montréal,1814,28,0,0
2021-02-12,06 - Montréal,1851,23,0,0
2021-02-13,06 - Montréal,73,8,0,0
2021-02-14,06 - Montréal,52,6,0,0
2021-02-15,06 - Montréal,841,15,0,0
2021-02-16,06 - Montréal,169,27,0,0
2021-02-17,06 - Montréal,411,12,0,0
2021-02-18,06 - Montréal,2437,23,0,0
2021-02-19,06 - Montréal,3922,10,0,0
2021-02-20,06 - Montréal,2559,5,0,0
2021-02-21,06 - Montréal,1950,8,0,0
2021-02-22,06 - Montréal,2190,25,0,0
2021-02-23,06 - Montréal,1608,24,0,0
2021-02-24,06 - Montréal,1913,16,0,0
2021-02-25,06 - Montréal,3657,17,0,0
2021-02-26,06 - Montréal,4648,18,0,0
2021-02-27,06 - Montréal,3500,18,0,0
2021-02-28,06 - Montréal,2290,5,0,0
2021-03-01,06 - Montréal,11006,18,0,0
2021-03-02,06 - Montréal,10911,25,0,0
2021-03-03,06 - Montréal,11004,19,0,0
2021-03-04,06 - Montréal,11395,16,0,0
2021-03-05,06 - Montréal,10676,19,0,0
2021-03-06,06 - Montréal,9050,10,0,0
2021-03-07,06 - Montréal,8733,4,0,0
2021-03-08,06 - Montréal,9703,338,0,0
2021-03-09,06 - Montréal,10182,480,0,0
2021-03-10,06 - Montréal,8642,434,0,0
2021-03-11,06 - Montréal,9638,198,0,0
2021-03-12,06 - Montréal,10746,160,1,0
2021-03-13,06 - Montréal,9612,10,0,0
2021-03-14,06 - Montréal,9556,7,0,0
2021-03-15,06 - Montréal,9808,16,0,0
2021-03-16,06 - Montréal,9635,17,0,0
2021-03-17,06 - Montréal,7316,17,0,0
2021-03-18,06 - Montréal,6833,31,0,0
2021-03-19,06 - Montréal,6553,10,0,0
2021-03-20,06 - Montréal,4518,3,0,0
2021-03-21,06 - Montréal,4082,9,0,0
2021-03-22,06 - Montréal,11465,24,0,0
2021-03-23,06 - Montréal,14268,22,1,0
2021-03-24,06 - Montréal,14873,24,0,0
2021-03-25,06 - Montréal,13984,35,0,0
2021-03-26,06 - Montréal,12901,17,0,0
2021-03-27,06 - Montréal,9982,20,0,0
2021-03-28,06 - Montréal,8866,8,0,0
2021-03-29,06 - Montréal,10934,22,0,0
2021-03-30,06 - Montréal,11256,48,0,0
2021-03-31,06 - Montréal,10752,44,0,0
2021-04-01,06 - Montréal,9152,18,0,0
2021-04-02,06 - Montréal,7125,24,0,0
2021-04-03,06 - Montréal,5331,17,0,0
2021-04-04,06 - Montréal,3424,12,0,0
2021-04-05,06 - Montréal,3878,20,0,0
2021-04-06,06 - Montréal,4158,67,0,0
2021-04-07,06 - Montréal,6096,78,0,0
2021-04-08,06 - Montréal,10710,64,0,0
2021-04-09,06 - Montréal,11609,98,0,0
2021-04-10,06 - Montréal,6985,29,0,0
2021-04-11,06 - Montréal,6201,17,0,0
2021-04-12,06 - Montréal,10274,161,0,0
2021-04-13,06 - Montréal,11486,445,0,0
2021-04-14,06 - Montréal,11192,462,0,0
2021-04-15,06 - Montréal,10954,357,1,0
2021-04-16,06 - Montréal,11341,225,0,0
2021-04-17,06 - Montréal,8347,171,0,0
2021-04-18,06 - Montréal,6303,137,0,0
2021-04-19,06 - Montréal,8714,594,1,0
2021-04-20,06 - Montréal,9380,1457,1,0
2021-04-21,06 - Montréal,15052,1540,0,0
2021-04-22,06 - Montréal,12891,1092,2,0
2021-04-23,06 - Montréal,11477,763,0,0
2021-04-24,06 - Montréal,6927,311,0,0
2021-04-25,06 - Montréal,4994,68,0,0
2021-04-26,06 - Montréal,7001,1125,1,0
2021-04-27,06 - Montréal,6145,2128,2,0
