date,semaine_cdc,regroupement,variant,proportion
2024-12-29,01,Autres,2,1.6
2024-12-29,01,JN.1.16.1,0,0
2024-12-29,01,KP.3.1.1,12,9.6
2024-12-29,01,KP.3.3.5,0,0
2024-12-29,01,LB.1.3.1,0,0
2024-12-29,01,LF.7,1,0.8
2024-12-29,01,LF.7.1,0,0
2024-12-29,01,LF.7.2.1,0,0
2024-12-29,01,LP.8.1,2,1.6
2024-12-29,01,LP.8.1.1,3,2.4
2024-12-29,01,LP.8.1.2,1,0.8
2024-12-29,01,MC.1,4,3.2
2024-12-29,01,MC.1.2,19,15.2
2024-12-29,01,MC.1.3.1,0,0
2024-12-29,01,MC.10.1,10,8
2024-12-29,01,MC.10.2,0,0
2024-12-29,01,MC.11,0,0
2024-12-29,01,MC.13,1,0.8
2024-12-29,01,MC.13.2,5,4
2024-12-29,01,MC.16,1,0.8
2024-12-29,01,MC.19,0,0
2024-12-29,01,MC.19.1,0,0
2024-12-29,01,MC.2,0,0
2024-12-29,01,MC.21.1,1,0.8
2024-12-29,01,MC.28.1,0,0
2024-12-29,01,MC.4,0,0
2024-12-29,01,MC.6,5,4
2024-12-29,01,MC.9,0,0
2024-12-29,01,MV.1,2,1.6
2024-12-29,01,NF.1,0,0
2024-12-29,01,NL.2,0,0
2024-12-29,01,NL.3,0,0
2024-12-29,01,NL.4,1,0.8
2024-12-29,01,XEC,37,29.6
2024-12-29,01,XEC.1,2,1.6
2024-12-29,01,XEC.11,4,3.2
2024-12-29,01,XEC.13,0,0
2024-12-29,01,XEC.14,3,2.4
2024-12-29,01,XEC.16,0,0
2024-12-29,01,XEC.2,2,1.6
2024-12-29,01,XEC.2.1,0,0
2024-12-29,01,XEC.2.2,0,0
2024-12-29,01,XEC.4,0,0
2024-12-29,01,XEC.6,0,0
2024-12-29,01,XEC.8,3,2.4
2024-12-29,01,XEC.9,3,2.4
2024-12-29,01,XEK,1,0.8
2024-12-29,01,XEK.1,0,0
2024-12-29,01,XEM,0,0
2025-01-12,03,Autres,7,4.4303797
2025-01-12,03,JN.1.16.1,0,0
2025-01-12,03,KP.3.1.1,21,13.291139
2025-01-12,03,KP.3.3.5,0,0
2025-01-12,03,LB.1.3.1,0,0
2025-01-12,03,LF.7,8,5.0632911
2025-01-12,03,LF.7.1,1,0.6329114
2025-01-12,03,LF.7.2.1,1,0.6329114
2025-01-12,03,LP.8.1,1,0.6329114
2025-01-12,03,LP.8.1.1,6,3.7974684
2025-01-12,03,LP.8.1.2,2,1.2658228
2025-01-12,03,MC.1,4,2.5316456
2025-01-12,03,MC.1.2,20,12.658228
2025-01-12,03,MC.1.3.1,2,1.2658228
2025-01-12,03,MC.10.1,7,4.4303797
2025-01-12,03,MC.10.2,0,0
2025-01-12,03,MC.11,0,0
2025-01-12,03,MC.13,3,1.8987342
2025-01-12,03,MC.13.2,5,3.164557
2025-01-12,03,MC.16,2,1.2658228
2025-01-12,03,MC.19,3,1.8987342
2025-01-12,03,MC.19.1,0,0
2025-01-12,03,MC.2,3,1.8987342
2025-01-12,03,MC.21.1,3,1.8987342
2025-01-12,03,MC.28.1,0,0
