niveau,code_territoire,territoire,annee,type_donnees,population
RLS,0611,0611 RLS de Pierrefonds - Lac Saint-Louis,2021,Estimation,220027
RLS,0612,0612 RLS de Dorval - Lachine - Lasalle,2021,Estimation,148703
RLS,0621,0621 RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,2021,Estimation,126032
RLS,0622,0622 RLS de Côte-des-Neiges - Métro - Parc-Extension,2021,Estimation,235434
RLS,0631,0631 RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,2021,Estimation,166355
RLS,0632,0632 RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,2021,Estimation,157032
RLS,0641,0641 RLS du Nord de l'Île - Saint-Laurent,2021,Estimation,155966
RLS,0642,0642 RLS d'Ahuntsic - Montréal-Nord,2021,Estimation,171062
RLS,0643,0643 RLS de la Petite Patrie - Villeray,2021,Estimation,109395
RLS,0651,0651 RLS de Saint-Léonard - Saint-Michel,2021,Estimation,136826
RLS,0652,0652 RLS de Rivière-des-Prairies - Anjou - Montréal-Est,2021,Estimation,203844
RLS,0653,0653 RLS de Hochelaga - Mercier-Ouest - Rosemont,2021,Estimation,185203
RSS,06,06 Montréal,2021,Estimation,2015879
