INSTAL_COD,INSTAL_NOM,ETAB_CODE,ETAB_NOM,RSS_CODE,RSS_NOM,ADRESSE,MUN_NOM,RLS_CODE,RLS_NOM,STATUT_COD,LONGITUDE,LATITUDE,CHSGS,CHSLD,CHPSY,CLSC,DATE_MAJ
12387692,CHSLD POLONAIS MARIE-CURIE-SKLODOWSKA,11045200,Santé Québec Est-de-l'Île-de-Montréal – Universitaire,06,Montréal,"5655, rue Bélanger",Montréal,0653,RLS de Hochelaga - Mercier-Ouest - Rosemont,3,-73.57430267333984,45.58100128173828,Non,Oui,Non,Non,2026-07-02
12475976,HÔPITAL DU SACRÉ-COEUR-DE-MONTRÉAL,11045192,Santé Québec Nord-de-l'Île-de-Montréal – Universitaire,06,Montréal,"5400, boulevard Gouin Ouest",Montréal,0641,RLS du Nord de l'Île - Saint-Laurent,3,-73.71399688720703,45.53260040283203,Oui,Non,Non,Non,2026-07-02
12934659,HÔPITAL MAISONNEUVE-ROSEMONT,11045200,Santé Québec Est-de-l'Île-de-Montréal – Universitaire,06,Montréal,"5415, boulevard de l'Assomption",Montréal,0653,RLS de Hochelaga - Mercier-Ouest - Rosemont,3,-73.55850219726562,45.57419967651367,Oui,Non,Non,Non,2026-07-02
15103666,INSTITUT UNIVERSITAIRE DE GÉRIATRIE DE MONTRÉAL,11045184,Santé Québec Centre-Sud-de-l'Île-de-Montréal – Universitaire,06,Montréal,"4565, chemin Queen-Mary",Montréal,0622,RLS de Côte-des-Neiges - Métro - Parc-Extension,3,-73.6238021850586,45.49100112915039,Oui,Oui,Non,Non,2026-07-02
51216802,CENTRE LE CARDINAL,11042280,Centre Le Cardinal inc.,06,Montréal,"12900, rue Notre-Dame Est",Montréal,0652,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,2,-73.48829650878906,45.65250015258789,Non,Oui,Non,Non,2026-07-02
51217735,CENTRE D'HÉBERGEMENT JEAN-DE-LA-LANDE,11045184,Santé Québec Centre-Sud-de-l'Île-de-Montréal – Universitaire,06,Montréal,"4255, avenue Papineau",Montréal,0632,RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,3,-73.56990051269531,45.53129959106445,Non,Oui,Non,Non,2026-07-02
51217933,MAISON DE NAISSANCE DE CÔTE-DES-NEIGES,11045176,Santé Québec Centre-Ouest-de-l'Île-de-Montréal – Universitaire,06,Montréal,"6560, chemin de la Côte-des-Neiges",Montréal,0622,RLS de Côte-des-Neiges - Métro - Parc-Extension,3,-73.6353988647461,45.50189971923828,Non,Non,Non,Oui,2026-07-02
51218030,CENTRE D'HÉBERGEMENT ET DE SERVICES AMBULATOIRES CHAMPLAIN,11045184,Santé Québec Centre-Sud-de-l'Île-de-Montréal – Universitaire,06,Montréal,"1325, rue Crawford",Montréal,0631,RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,3,-73.58679962158203,45.43880081176758,Oui,Oui,Non,Non,2026-07-02
51218097,HÔPITAL DE VERDUN,11045184,Santé Québec Centre-Sud-de-l'Île-de-Montréal – Universitaire,06,Montréal,"4000, boulevard LaSalle",Montréal,0631,RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,3,-73.56400299072266,45.4640998840332,Oui,Non,Non,Non,2026-07-02
51218162,CHSLD LE ROYER,11042603,Groupe Roy Santé inc.,06,Montréal,"7351, rue Jean-Desprez",Montréal,0652,RLS de Rivière-des-Prairies - Anjou - Montréal-Est,2,-73.54759979248047,45.61750030517578,Non,Oui,Non,Non,2026-07-02
