code_installation,nom_installation,civieres_fonctionnelles,civieres_en_service,civieres_hors_permis,civieres_occupees,patients_plus_24h,patients_plus_48h,patients_presents,en_attente_prise_en_charge,dms_civiere_heures,dms_civiere_jours,mise_a_jour
51236297,CENTRE HOSPITALIER DE L'UNIVERSITÉ DE MONTRÉAL,51,79,28,79,16,1,145,51,18.59,0.7746,2026-08-25T16:45
51223295,HÔPITAL ROYAL VICTORIA,33,73,40,73,38,20,124,37,26.46,1.1025,2026-08-25T16:45
51228278,HÔPITAL GÉNÉRAL DU LAKESHORE,31,64,33,64,33,24,94,32,34.81,1.4504,2026-08-25T16:45
12934659,HÔPITAL MAISONNEUVE-ROSEMONT,54,60,6,60,15,0,106,45,17.96,0.7483,2026-08-25T16:45
51218097,HÔPITAL DE VERDUN,26,32,6,32,8,0,66,18,17.12,0.7133,2026-08-25T16:45
51236313,HÔPITAL NOTRE-DAME,35,35,0,32,18,13,63,17,19.17,0.7988,2026-08-25T16:45
51224392,HÔPITAL DE LASALLE,15,26,11,26,15,8,49,16,21.03,0.8763,2026-08-25T16:45
51228310,HÔPITAL DE LACHINE,14,21,7,21,15,8,41,13,24.88,1.0367,2026-08-25T16:45
51223279,L'HÔPITAL DE MONTRÉAL POUR ENFANTS,12,14,2,14,0,0,42,9,10.36,0.4317,2026-08-25T16:45
51222800,CHU SAINTE-JUSTINE,16,16,0,12,0,0,41,18,7.38,0.3075,2026-08-25T16:45
51235307,INSTITUT UNIVERSITAIRE EN SANTÉ MENTALE DE MONTRÉAL,12,12,0,7,4,1,10,0,31.57,1.3154,2026-08-25T16:45
51235190,HÔPITAL DOUGLAS,8,8,0,4,0,0,10,4,14.88,0.62,2026-08-25T16:45
51228492,HÔPITAL FLEURY,,,,,,,,,,,2026-08-25T16:45
12475976,HÔPITAL DU SACRÉ-COEUR-DE-MONTRÉAL,,,,,,,,,,,2026-08-25T16:45
51228500,HÔPITAL JEAN-TALON,,,,,,,,,,,2026-08-25T16:45
51848752,HÔPITAL EN SANTÉ MENTALE ALBERT-PRÉVOST,,,,,,,,,,,2026-08-25T16:45
