bed_code,ward,status,beds_label
UR-01,HND Emergency,occupied,Lit UR-01
UR-02,HND Emergency,occupied,Lit UR-02
UR-03,HND Emergency,occupied,Lit UR-03
UR-04,HND Emergency,occupied,Lit UR-04
UR-05,HND Emergency,occupied,Lit UR-05
UR-06,HND Emergency,occupied,Lit UR-06
UR-07,HND Emergency,occupied,Lit UR-07
UR-08,HND Emergency,occupied,Lit UR-08
UR-09,HND Emergency,occupied,Lit UR-09
UR-10,HND Emergency,occupied,Lit UR-10
UR-11,HND Emergency,occupied,Lit UR-11
UR-12,HND Emergency,occupied,Lit UR-12
UR-13,HND Emergency,occupied,Lit UR-13
UR-14,HND Emergency,occupied,Lit UR-14
UR-15,HND Emergency,occupied,Lit UR-15
UR-16,HND Emergency,occupied,Lit UR-16
UR-17,HND Emergency,occupied,Lit UR-17
UR-18,HND Emergency,occupied,Lit UR-18
UR-19,HND Emergency,occupied,Lit UR-19
UR-20,HND Emergency,occupied,Lit UR-20
UR-21,HND Emergency,occupied,Lit UR-21
UR-22,HND Emergency,occupied,Lit UR-22
UR-23,HND Emergency,occupied,Lit UR-23
UR-24,HND Emergency,free,Lit UR-24
